step  8040 | loss 5.5248 | lm 5.5248 | ppl 250.8 | gnorm 0.866 | lr 5.63e-05 | 133411 tok/s | Φ 0.800 | λ₁ 0.352 | ign 0.41 | mesoLG 0.48 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.389 θ=0.220 γ=0.391]
step  8060 | loss 5.4153 | lm 5.4153 | ppl 224.8 | gnorm 1.018 | lr 5.58e-05 | 131525 tok/s | Φ 0.879 | λ₁ 0.352 | ign 0.39 | mesoLG 0.50 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.414 θ=0.249 γ=0.338]
step  8080 | loss 5.3954 | lm 5.3954 | ppl 220.4 | gnorm 0.741 | lr 5.53e-05 | 133641 tok/s | Φ 0.859 | λ₁ 0.352 | ign 0.44 | mesoLG 0.51 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.376 θ=0.336 γ=0.289]
step  8100 | loss 5.4782 | lm 5.4782 | ppl 239.4 | gnorm 0.830 | lr 5.48e-05 | 133701 tok/s | Φ 0.862 | λ₁ 0.352 | ign 0.41 | mesoLG 0.51 | troph 4/4 μ1.98 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.350 θ=0.366 γ=0.284]
step  8120 | loss 5.5563 | lm 5.5563 | ppl 258.9 | gnorm 0.925 | lr 5.43e-05 | 134591 tok/s | Φ 0.838 | λ₁ 0.352 | ign 0.39 | mesoLG 0.47 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.380 θ=0.332 γ=0.287]
step  8140 | loss 5.5960 | lm 5.5960 | ppl 269.3 | gnorm 0.938 | lr 5.38e-05 | 134114 tok/s | Φ 0.822 | λ₁ 0.352 | ign 0.40 | mesoLG 0.47 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.407 θ=0.302 γ=0.291]
step  8160 | loss 5.3968 | lm 5.3968 | ppl 220.7 | gnorm 1.105 | lr 5.33e-05 | 131962 tok/s | Φ 0.833 | λ₁ 0.352 | ign 0.39 | mesoLG 0.50 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.440 θ=0.224 γ=0.336]
step  8180 | loss 5.2327 | lm 5.2327 | ppl 187.3 | gnorm 1.440 | lr 5.28e-05 | 131566 tok/s | Φ 0.917 | λ₁ 0.352 | ign 0.39 | mesoLG 0.50 | troph 4/4 μ1.96 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.348 θ=0.254 γ=0.399]
step  8200 | loss 5.2030 | lm 5.2030 | ppl 181.8 | gnorm 1.082 | lr 5.23e-05 | 131393 tok/s | Φ 0.843 | λ₁ 0.352 | ign 0.39 | mesoLG 0.45 | troph 4/4 μ1.96 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.320 θ=0.289 γ=0.391]
step  8220 | loss 5.4216 | lm 5.4216 | ppl 226.2 | gnorm 1.086 | lr 5.18e-05 | 131882 tok/s | Φ 0.819 | λ₁ 0.352 | ign 0.38 | mesoLG 0.48 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.290 θ=0.280 γ=0.430]
step  8240 | loss 5.3416 | lm 5.3416 | ppl 208.9 | gnorm 1.207 | lr 5.13e-05 | 131380 tok/s | Φ 0.879 | λ₁ 0.352 | ign 0.31 | mesoLG 0.47 | troph 4/4 μ1.93 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.416 θ=0.236 γ=0.347]
step  8260 | loss 4.9820 | lm 4.9820 | ppl 145.8 | gnorm 1.470 | lr 5.09e-05 | 129985 tok/s | Φ 0.842 | λ₁ 0.352 | ign 0.33 | mesoLG 0.43 | troph 4/4 μ1.93 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.400 θ=0.222 γ=0.378]
step  8280 | loss 5.1445 | lm 5.1445 | ppl 171.5 | gnorm 1.521 | lr 5.04e-05 | 132248 tok/s | Φ 0.871 | λ₁ 0.352 | ign 0.46 | mesoLG 0.45 | troph 4/4 μ1.93 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.394 θ=0.270 γ=0.336]
step  8300 | loss 4.9872 | lm 4.9872 | ppl 146.5 | gnorm 1.309 | lr 5.00e-05 | 131684 tok/s | Φ 0.916 | λ₁ 0.352 | ign 0.39 | mesoLG 0.47 | troph 4/4 μ1.97 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.443 θ=0.295 γ=0.262]
step  8320 | loss 5.4083 | lm 5.4083 | ppl 223.3 | gnorm 1.299 | lr 4.95e-05 | 131739 tok/s | Φ 0.857 | λ₁ 0.352 | ign 0.44 | mesoLG 0.46 | troph 4/4 μ1.99 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.458 θ=0.295 γ=0.246]
step  8340 | loss 5.5100 | lm 5.5100 | ppl 247.2 | gnorm 0.993 | lr 4.90e-05 | 128381 tok/s | Φ 0.855 | λ₁ 0.352 | ign 0.38 | mesoLG 0.49 | troph 4/4 μ1.97 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.440 θ=0.278 γ=0.283]
step  8360 | loss 5.5809 | lm 5.5809 | ppl 265.3 | gnorm 1.294 | lr 4.86e-05 | 128377 tok/s | Φ 0.830 | λ₁ 0.352 | ign 0.41 | mesoLG 0.47 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.489 θ=0.248 γ=0.263]
step  8380 | loss 5.6642 | lm 5.6642 | ppl 288.3 | gnorm 0.934 | lr 4.82e-05 | 128210 tok/s | Φ 0.852 | λ₁ 0.352 | ign 0.40 | mesoLG 0.48 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.464 θ=0.246 γ=0.290]
step  8400 | loss 5.3543 | lm 5.3543 | ppl 211.5 | gnorm 1.013 | lr 4.77e-05 | 129002 tok/s | Φ 0.841 | λ₁ 0.352 | ign 0.37 | mesoLG 0.51 | troph 4/4 μ1.95 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.409 θ=0.355 γ=0.236]
step  8420 | loss 5.3400 | lm 5.3400 | ppl 208.5 | gnorm 0.908 | lr 4.73e-05 | 128477 tok/s | Φ 0.834 | λ₁ 0.352 | ign 0.38 | mesoLG 0.49 | troph 4/4 μ1.94 | NT[DA=0.15 NE=0.20 5HT=0.35 ACh=0.25 eCB=0.10 Glu=0.45 GABA=0.15] | osc[δ=0.376 θ=0.353 γ=0.271]
